name,country,latitude,longitude,timezone,population
Al Ḩamīdīyah,ОАЭ,25.40001,55.52925,Asia/Dubai,27000
Al Waheda,ОАЭ,25.29173,55.33822,Asia/Dubai,21608
Al Karama,ОАЭ,25.24004,55.30106,Asia/Dubai,75560
The Palm Jumeirah,ОАЭ,25.11607,55.13506,Asia/Dubai,25500
Bur Dubai,ОАЭ,25.26038,55.29891,Asia/Dubai,18698
Khalifah A City,ОАЭ,24.42588,54.605,Asia/Dubai,85374
Mirdif,ОАЭ,25.22443,55.41412,Asia/Dubai,60288
Hawr al ‘Anz,ОАЭ,25.27744,55.33675,Asia/Dubai,84661
Mankhūl,ОАЭ,25.24612,55.29222,Asia/Dubai,41244
Nāyf,ОАЭ,25.27139,55.30323,Asia/Dubai,53075
Al Murar al Qadīm,ОАЭ,25.27576,55.30738,Asia/Dubai,19831
Al Warqaa,ОАЭ,25.19272,55.42013,Asia/Dubai,59111
International City,ОАЭ,25.16383,55.40987,Asia/Dubai,120000
Dubai Marina,ОАЭ,25.08525,55.14646,Asia/Dubai,120000
Dubai Internet City,ОАЭ,25.09538,55.16171,Asia/Dubai,24000
Al Safa,ОАЭ,25.17047,55.23336,Asia/Dubai,15672
Ar Rumaylah,ОАЭ,25.40338,55.4334,Asia/Dubai,86000
Al Jurf,ОАЭ,25.41814,55.50791,Asia/Dubai,18000
Al Majaz,ОАЭ,25.32354,55.38774,Asia/Dubai,116503
Dubai Festival City,ОАЭ,25.22177,55.35733,Asia/Dubai,77000
Dubai International Financial Centre,ОАЭ,25.2106,55.27787,Asia/Dubai,36000
Dubai Investments Park,ОАЭ,25.00827,55.15682,Asia/Dubai,160000
Jebel Ali,ОАЭ,25.00255,55.10811,Asia/Dubai,210000
Bani Yas City,ОАЭ,24.30978,54.62944,Asia/Dubai,80498
Musaffah,ОАЭ,24.35893,54.48267,Asia/Dubai,243341
Al Shamkhah City,ОАЭ,24.39268,54.70779,Asia/Dubai,61710
Reef Al Fujairah City,ОАЭ,25.14479,56.24764,Asia/Dubai,82310
Al Bada'a,ОАЭ,25.22462,55.26888,Asia/Dubai,18816
Al Muteena,ОАЭ,25.27375,55.32265,Asia/Dubai,48739
Al Mizhar First,ОАЭ,25.24805,55.44128,Asia/Dubai,17498
Dubai Silicon Oasis,ОАЭ,25.11985,55.38718,Asia/Dubai,90000
Al Furjan,ОАЭ,25.02651,55.14565,Asia/Dubai,26000
Business Bay,ОАЭ,25.18544,55.26969,Asia/Dubai,191000
Al Qusais 1,ОАЭ,25.27925,55.36995,Asia/Dubai,48378
Halwan,ОАЭ,25.34586,55.42165,Asia/Dubai,19389
Al Sajaah,ОАЭ,25.31532,55.63211,Asia/Dubai,53079
Lahbab,ОАЭ,25.03763,55.59135,Asia/Dubai,53079
Mohammed Bin Zayed City,ОАЭ,24.34794,54.55368,Asia/Dubai,85000
Zaranj,Афганистан,30.95962,61.86037,Asia/Kabul,49851
Bāzār-e Yakāwlang,Афганистан,34.73525,66.97379,Asia/Kabul,65000
Taloqan,Афганистан,36.73605,69.53451,Asia/Kabul,64256
Shīnḏanḏ,Афганистан,33.30294,62.1474,Asia/Kabul,29264
Shibirghān,Афганистан,36.66757,65.7529,Asia/Kabul,55641
Shahrak,Афганистан,34.10737,64.3052,Asia/Kabul,15967
Sar-e Pul,Афганистан,36.21544,65.93249,Asia/Kabul,52121
Sang-e Chārak,Афганистан,35.84972,66.43694,Asia/Kabul,15377
Aībak,Афганистан,36.26468,68.01551,Asia/Kabul,47823
Rustāq,Афганистан,37.12604,69.83045,Asia/Kabul,25636
Qarqīn,Афганистан,37.41853,66.04358,Asia/Kabul,15018
Qarāwul,Афганистан,37.21959,68.7802,Asia/Kabul,24544
Pul-e Khumrī,Афганистан,35.94458,68.71512,Asia/Kabul,56369
Paghmān,Афганистан,34.58787,68.95091,Asia/Kabul,49157
Nīlī,Афганистан,33.72178,66.13023,Asia/Kabul,30058
Nahrīn,Афганистан,36.0649,69.13343,Asia/Kabul,22363
Maymana,Афганистан,35.92139,64.78361,Asia/Kabul,75900
Mehtar Lām,Афганистан,34.67139,70.20944,Asia/Kabul,17345
Mazār-e Sharīf,Афганистан,36.70904,67.11087,Asia/Kabul,523300
Lashkar Gāh,Афганистан,31.59382,64.37161,Asia/Kabul,43934
Kushk,Афганистан,33.29565,61.95221,Asia/Kabul,16952
Kunduz,Афганистан,36.72895,68.857,Asia/Kabul,161902
Khōst,Афганистан,33.33951,69.92041,Asia/Kabul,96123
Khulm,Афганистан,36.69736,67.69826,Asia/Kabul,64933
Khāsh,Афганистан,31.52919,62.79055,Asia/Kabul,15133
Khān Neshīn,Афганистан,30.5488,63.7888,Asia/Kabul,25600
Khanabad,Афганистан,36.68304,69.11279,Asia/Kabul,71531
Karukh,Афганистан,34.48108,62.5863,Asia/Kabul,17484
Kandahār,Афганистан,31.61332,65.71013,Asia/Kabul,523300
Kabul,Афганистан,34.52813,69.17233,Asia/Kabul,4434550
Jalālābād,Афганистан,34.42647,70.45153,Asia/Kabul,271900
Jabal os Saraj,Афганистан,35.11833,69.23778,Asia/Kabul,15032
Herāt,Афганистан,34.34817,62.19967,Asia/Kabul,574300
Ghormach,Афганистан,35.73062,63.78264,Asia/Kabul,30000
Ghazni,Афганистан,33.55391,68.42096,Asia/Kabul,141000
Gereshk,Афганистан,31.82089,64.57005,Asia/Kabul,43588
Gardez,Афганистан,33.59744,69.22592,Asia/Kabul,103601
Fayzabad,Афганистан,37.11664,70.58002,Asia/Kabul,44421
Farah,Афганистан,32.37451,62.11638,Asia/Kabul,43561
Eslam Qaleh,Афганистан,34.66667,61.06667,Asia/Kabul,18086
Charikar,Афганистан,35.01361,69.17139,Asia/Kabul,53676
Baraki Barak,Афганистан,33.96744,68.9492,Asia/Kabul,22305
Bāmyān,Афганистан,34.82156,67.82734,Asia/Kabul,61863
Balkh,Афганистан,36.75635,66.8972,Asia/Kabul,114883
Baghlān,Афганистан,36.13068,68.70829,Asia/Kabul,108449
Ārt Khwājah,Афганистан,37.08571,69.47958,Asia/Kabul,18623
Āsmār,Афганистан,35.03333,71.35809,Asia/Kabul,15708
Asadābād,Афганистан,34.87311,71.14697,Asia/Kabul,48400
Andkhōy,Афганистан,36.95293,65.12376,Asia/Kabul,29208
Bāzārak,Афганистан,35.31292,69.51519,Asia/Kabul,65000
Markaz-e Woluswalī-ye Āchīn,Афганистан,34.12583,70.70778,Asia/Kabul,15098
Saint John’s,AG,17.12096,-61.84329,America/Antigua,24226
Sarandë,Албания,39.87534,20.00477,Europe/Tirane,22613
Pogradec,Албания,40.9025,20.6525,Europe/Tirane,46070
Librazhd,Албания,41.17944,20.315,Europe/Tirane,23312
Kukës,Албания,42.07694,20.42194,Europe/Tirane,36125
Korçë,Албания,40.61861,20.78083,Europe/Tirane,58259
Gjirokastër,Албания,40.07583,20.13889,Europe/Tirane,23437
Elbasan,Албания,41.11138,20.08224,Europe/Tirane,100903
Bulqizë,Албания,41.49167,20.22194,Europe/Tirane,26826
Vlorë,Албания,40.4696,19.48379,Europe/Tirane,115261
Tirana,Албания,41.32744,19.81866,Europe/Tirane,418495
Shkodër,Албания,42.06828,19.51258,Europe/Tirane,95553
Peqin,Албания,41.04611,19.75111,Europe/Tirane,16580
Patos Fshat,Албания,40.64278,19.65083,Europe/Tirane,22679
Patos,Албания,40.68333,19.61944,Europe/Tirane,16000
Lushnjë,Албания,40.94194,19.705,Europe/Tirane,63135
Lezhë,Албания,41.78361,19.64361,Europe/Tirane,18695
Kuçovë,Албания,40.80028,19.91667,Europe/Tirane,31077
Krujë,Албания,41.50917,19.79278,Europe/Tirane,51191
Kavajë,Албания,41.18556,19.55694,Europe/Tirane,30012
Fier-Çifçi,Албания,40.71667,19.56667,Europe/Tirane,60995
Fier,Албания,40.7251,19.55823,Europe/Tirane,56297
Durrës,Албания,41.32355,19.45469,Europe/Tirane,195920
Berat,Албания,40.70583,19.95222,Europe/Tirane,62232
Kapan,Армения,39.20762,46.40678,Asia/Yerevan,32900
Goris,Армения,39.51111,46.34168,Asia/Yerevan,17483
Artashat,Армения,39.95484,44.54874,Asia/Yerevan,22800
Ararat,Армения,39.85494,44.6947,Asia/Yerevan,16986
Yerevan,Армения,40.17765,44.5126,Asia/Yerevan,1141100
Vagharshapat,Армения,40.16557,44.29462,Asia/Yerevan,45842
Sevan,Армения,40.548,44.95314,Asia/Yerevan,18951
Masis,Армения,40.06595,44.43669,Asia/Yerevan,20774
Vanadzor,Армения,40.8074,44.49704,Asia/Yerevan,78100
Gavar,Армения,40.35398,45.12386,Asia/Yerevan,18900
Ijevan,Армения,40.88037,45.14776,Asia/Yerevan,19500
Hrazdan,Армения,40.5169,44.75591,Asia/Yerevan,49500
Armavir,Армения,40.15553,44.0388,Asia/Yerevan,29700
Gyumri,Армения,40.79305,43.84635,Asia/Yerevan,112301
Dilijan,Армения,40.74037,44.86344,Asia/Yerevan,16400
Davtashen,Армения,40.21642,44.48088,Asia/Yerevan,51800
Charentsavan,Армения,40.40289,44.64447,Asia/Yerevan,22763
Avan,Армения,40.21436,44.57846,Asia/Yerevan,58700
Ashtarak,Армения,40.2976,44.36152,Asia/Yerevan,17600
Artik,Армения,40.61918,43.97207,Asia/Yerevan,17950
Abovyan,Армения,40.2717,44.63342,Asia/Yerevan,47546
Erebuni,Армения,40.13309,44.53009,Asia/Yerevan,129500
Nor Nork,Армения,40.19661,44.5669,Asia/Yerevan,136900
Ajapnyak,Армения,40.19917,44.47056,Asia/Yerevan,122300
Kanaker-Zeytun,Армения,40.22,44.53833,Asia/Yerevan,75000
Malatia-Sebastia,Армения,40.17396,44.4457,Asia/Yerevan,150000
Kentron,Армения,40.17806,44.51303,Asia/Yerevan,132800
Shengavit,Армения,40.1557,44.4779,Asia/Yerevan,140400
Arabkir,Армения,40.20624,44.50365,Asia/Yerevan,118870
Saurimo,AO,-9.66078,20.39155,Africa/Luanda,393000
Lucapa,AO,-8.41915,20.74466,Africa/Luanda,110000
Dundo,AO,-7.36643,20.81557,Africa/Luanda,177604
Chitato,AO,-7.3,20.73333,Africa/Luanda,246880
Cassanguidi,AO,-7.48367,21.30339,Africa/Luanda,20000
Lumbala,AO,-14.10165,21.43531,Africa/Luanda,19000
Luau,AO,-10.70727,22.22466,Africa/Luanda,55432
Cazombo,AO,-11.89914,22.90216,Africa/Luanda,34000
Nzagi,AO,-8.38549,15.30126,Africa/Luanda,60000
Uíge,AO,-7.60874,15.06131,Africa/Luanda,322531
Tombôco,AO,-6.80517,13.33017,Africa/Luanda,20358
Soyo,AO,-6.1349,12.36894,Africa/Luanda,200920
Songo,AO,-7.35207,14.84629,Africa/Luanda,31382
Sanza Pombo,AO,-7.31473,16.0024,Africa/Luanda,23000
N'zeto,AO,-7.228,12.86956,Africa/Luanda,28840
Negage,AO,-7.75938,15.2722,Africa/Luanda,92950
N'dalatando,AO,-9.29782,14.91162,Africa/Luanda,161584
Mussende,AO,-10.5143,16.0199,Africa/Luanda,33558
Mbanza Kongo,AO,-6.26667,14.23833,Africa/Luanda,148000
Maquela do Zombo,AO,-6.05716,15.10971,Africa/Luanda,42000
Malanje,AO,-9.54015,16.34096,Africa/Luanda,455000
Lucala,AO,-9.27268,15.25206,Africa/Luanda,19422
Lubalo,AO,-9.15445,19.28136,Africa/Luanda,26103
Luanda,AO,-8.83682,13.23432,Africa/Luanda,2776168
Cunda diá Baze,AO,-8.90769,17.05339,Africa/Luanda,15965
Golungo Alto,AO,-9.13333,14.76667,Africa/Luanda,19992
Dondo,AO,-9.68456,14.42788,Africa/Luanda,64643
Dondo,AO,-9.05,15.31667,Africa/Luanda,64643
Cuímba,AO,-6.12085,14.62086,Africa/Luanda,41878
Cuilo,AO,-8.23619,19.52566,Africa/Luanda,26577
Cuango-Luzamba,AO,-9.14583,18.04453,Africa/Luanda,55000
Cazombo,AO,-8.73204,15.37124,Africa/Luanda,34000
Caxito,AO,-8.57848,13.66425,Africa/Luanda,55000
Cangandala,AO,-9.78333,16.43333,Africa/Luanda,16232
Camabatela,AO,-8.18812,15.37495,Africa/Luanda,21767
Cacuso,AO,-9.42102,15.74668,Africa/Luanda,39302
Cabinda,AO,-5.56198,12.19476,Africa/Luanda,550000
Buco Zau,AO,-4.76667,12.55,Africa/Luanda,40953
Belize,AO,-4.65,12.76667,Africa/Luanda,24430
Barra do Dande,AO,-8.47175,13.37011,Africa/Luanda,75000
Bailundo,AO,-9.57499,15.99442,Africa/Luanda,70481
Gama,AO,-8.5675,13.47639,Africa/Luanda,66202
Xangongo,AO,-16.7444,14.97494,Africa/Luanda,35000
Alto Hama,AO,-12.23333,15.55,Africa/Luanda,17000
Virei,AO,-15.727,12.94961,Africa/Luanda,42607
Ucuma,AO,-12.96121,15.05958,Africa/Luanda,21809
Ucu Seles,AO,-11.41237,14.30663,Africa/Luanda,47421
Tômbua,AO,-15.80394,11.84485,Africa/Luanda,46573
Sumbe,AO,-11.20605,13.84371,Africa/Luanda,205832
Quipungo,AO,-14.81909,14.53504,Africa/Luanda,23014
Quibala,AO,-10.73366,14.97995,Africa/Luanda,27128
Porto Amboim,AO,-10.73251,13.76844,Africa/Luanda,91605
Ondjiva,AO,-17.06667,15.73333,Africa/Luanda,121537
Nharêa,AO,-11.47512,16.96496,Africa/Luanda,18000
Mossamedes,AO,-15.19611,12.15222,Africa/Luanda,255000
Mungo,AO,-11.83268,16.23613,Africa/Luanda,21662
Menongue,AO,-14.6585,17.69099,Africa/Luanda,251178
Matala,AO,-14.73272,15.03479,Africa/Luanda,78000
Luquembo,AO,-10.73912,17.71766,Africa/Luanda,69420
Luena,AO,-11.78333,19.91667,Africa/Luanda,273675
Lubango,AO,-14.91717,13.4925,Africa/Luanda,600751
Longonjo,AO,-12.90795,15.24845,Africa/Luanda,23000
Londuimbali,AO,-12.23712,15.31697,Africa/Luanda,17000
Lobito,AO,-12.3644,13.53601,Africa/Luanda,357950
Cuíto,AO,-12.38333,16.93333,Africa/Luanda,355423
Catchiungo,AO,-12.56598,16.22589,Africa/Luanda,26974
Huambo,AO,-12.77611,15.73917,Africa/Luanda,595304
Ganda,AO,-13.01592,14.63502,Africa/Luanda,65000
Gabela,AO,-10.85147,14.37993,Africa/Luanda,116903
Dombe Grande,AO,-12.95167,13.1025,Africa/Luanda,25000
Cuemba,AO,-12.15,18.08333,Africa/Luanda,19995
Cubal,AO,-13.03865,14.2455,Africa/Luanda,90367
Conda,AO,-11.10862,14.33621,Africa/Luanda,21260
Chitembo,AO,-13.55,16.63333,Africa/Luanda,25000
Chinguar,AO,-12.55708,16.33805,Africa/Luanda,26811
Cela,AO,-11.42173,15.12345,Africa/Luanda,90000
Catumbela,AO,-12.43002,13.54677,Africa/Luanda,95034
Catabola,AO,-12.15,17.28333,Africa/Luanda,28831
Capunda,AO,-11.13333,14.46667,Africa/Luanda,21260
Camucuio,AO,-14.11667,13.25,Africa/Luanda,66112
Cambundi Catembo,AO,-10.07531,17.55058,Africa/Luanda,17212
Camacupa,AO,-12.01667,17.48333,Africa/Luanda,59000
Caluquembe,AO,-13.86667,14.43333,Africa/Luanda,31000
Calulo,AO,-10.00055,14.89519,Africa/Luanda,44000
Caála,AO,-12.8525,15.56056,Africa/Luanda,130000
Bocoio,AO,-12.47017,14.13688,Africa/Luanda,35000
Benguela,AO,-12.57674,13.40268,Africa/Luanda,555124
Balombo,AO,-12.35426,14.77232,Africa/Luanda,36361
Baía Farta,AO,-12.60417,13.19667,Africa/Luanda,45000
Andulo,AO,-11.48676,16.69663,Africa/Luanda,50000
Cambundi,AO,-7.46856,17.03769,Africa/Luanda,17212
Cafunfo,AO,-8.7672,17.99572,Africa/Luanda,90000
Santa Clara,AO,-10.19156,15.43408,Africa/Luanda,29000
Quissecula,AO,-11.39223,15.09201,Africa/Luanda,90000
Cambundi,AO,-10.89481,17.76402,Africa/Luanda,17212
Zárate,Аргентина,-34.09584,-59.02423,America/Argentina/Buenos_Aires,99061
Colonia Wanda,Аргентина,-25.97337,-54.56304,America/Argentina/Cordoba,15529
Villa Ortúzar,Аргентина,-34.57973,-58.46829,America/Argentina/Buenos_Aires,22500
Villa Ocampo,Аргентина,-28.48726,-59.35421,America/Argentina/Cordoba,19101
Villa Lugano,Аргентина,-34.67907,-58.47263,America/Argentina/Buenos_Aires,114000
Villaguay,Аргентина,-31.86767,-59.02701,America/Argentina/Cordoba,32027
Villa Gesell,Аргентина,-37.26394,-56.97304,America/Argentina/Buenos_Aires,23257
Villa de Mayo,Аргентина,-34.5108,-58.68059,America/Argentina/Buenos_Aires,43405
Tortuguitas,Аргентина,-34.47513,-58.75367,America/Argentina/Buenos_Aires,41390
Tigre,Аргентина,-34.42603,-58.57962,America/Argentina/Buenos_Aires,31106
Tandil,Аргентина,-37.3287,-59.1369,America/Argentina/Buenos_Aires,115877
San Vicente,Аргентина,-26.61667,-54.13333,America/Argentina/Cordoba,38247
Santo Tomé,Аргентина,-28.55104,-56.04125,America/Argentina/Cordoba,22634
Santos Lugares,Аргентина,-34.60306,-58.54074,America/Argentina/Buenos_Aires,37267
Santa Elena,Аргентина,-30.94432,-59.78832,America/Argentina/Cordoba,18410
San Pedro,Аргентина,-33.67918,-59.66633,America/Argentina/Buenos_Aires,47452
San Pedro,Аргентина,-26.6218,-54.10902,America/Argentina/Cordoba,23736
San Luis del Palmar,Аргентина,-27.50766,-58.55625,America/Argentina/Cordoba,15347
San Lorenzo,Аргентина,-28.13442,-58.76685,America/Argentina/Cordoba,47626
San Javier,Аргентина,-30.58072,-59.92962,America/Argentina/Cordoba,15606
San Isidro,Аргентина,-34.46971,-58.52111,America/Argentina/Buenos_Aires,45190
San Antonio de Padua,Аргентина,-34.66267,-58.69819,America/Argentina/Buenos_Aires,37745
Saladillo,Аргентина,-35.63884,-59.77938,America/Argentina/Buenos_Aires,35669
Saladas,Аргентина,-28.25504,-58.62386,America/Argentina/Cordoba,18349
Retiro,Аргентина,-34.58333,-58.38333,America/Argentina/Buenos_Aires,38635
Resistencia,Аргентина,-27.46363,-58.98665,America/Argentina/Cordoba,290793
Reconquista,Аргентина,-29.15,-59.65,America/Argentina/Cordoba,90184
Quilmes,Аргентина,-34.72065,-58.25454,America/Argentina/Buenos_Aires,262379
Puerto Rico,Аргентина,-26.8089,-55.02147,America/Argentina/Cordoba,17491
Puerto Iguazú,Аргентина,-25.59912,-54.57355,America/Argentina/Cordoba,32038
Puerto Esperanza,Аргентина,-26.02267,-54.61356,America/Argentina/Cordoba,15579
Puerto Eldorado,Аргентина,-26.40843,-54.69463,America/Argentina/Cordoba,54189
Posadas,Аргентина,-27.39184,-55.92379,America/Argentina/Cordoba,305874
Pontevedra,Аргентина,-34.74947,-58.70158,America/Argentina/Buenos_Aires,33515
Pirané,Аргентина,-25.73271,-59.10989,America/Argentina/Cordoba,19124
Pilar,Аргентина,-34.45867,-58.91398,America/Argentina/Buenos_Aires,81120
Paso de los Libres,Аргентина,-29.71251,-57.08771,America/Argentina/Cordoba,43805
Oberá,Аргентина,-27.48683,-55.11994,America/Argentina/Cordoba,56528
Nogoyá,Аргентина,-32.39375,-59.78955,America/Argentina/Cordoba,43195
Necochea,Аргентина,-38.5545,-58.73961,America/Argentina/Buenos_Aires,73557
Muñiz,Аргентина,-34.55622,-58.70739,America/Argentina/Buenos_Aires,26844
Morón,Аргентина,-34.65118,-58.62205,America/Argentina/Buenos_Aires,99066
Monte Caseros,Аргентина,-30.2518,-57.63537,America/Argentina/Cordoba,24671
Montecarlo,Аргентина,-26.56849,-54.7579,America/Argentina/Cordoba,22229
Merlo,Аргентина,-34.66536,-58.72744,America/Argentina/Buenos_Aires,268961
Mercedes,Аргентина,-34.65072,-59.43143,America/Argentina/Buenos_Aires,63284
Mercedes,Аргентина,-29.18416,-58.07519,America/Argentina/Cordoba,30649
Haedo,Аргентина,-34.64239,-58.59212,America/Argentina/Buenos_Aires,37745
Mar del Plata,Аргентина,-38.00042,-57.5562,America/Argentina/Buenos_Aires,593337
Luján,Аргентина,-34.5664,-59.11478,America/Argentina/Buenos_Aires,97363
Los Polvorines,Аргентина,-34.50316,-58.70596,America/Argentina/Buenos_Aires,53354
Lomas de Zamora,Аргентина,-34.7574,-58.40279,America/Argentina/Buenos_Aires,111897
La Plata,Аргентина,-34.92126,-57.95442,America/Argentina/Buenos_Aires,195443
La Paz,Аргентина,-30.74179,-59.64517,America/Argentina/Cordoba,24716
Jardín América,Аргентина,-27.04346,-55.22698,America/Argentina/Cordoba,24905
Ituzaingó,Аргентина,-27.58504,-56.68707,America/Argentina/Cordoba,168419
Hurlingham,Аргентина,-34.5904,-58.62904,America/Argentina/Buenos_Aires,60000
Gualeguaychú,Аргентина,-33.00777,-58.51836,America/Argentina/Cordoba,78676
Gualeguay,Аргентина,-33.14091,-59.31257,America/Argentina/Cordoba,33120
Goya,Аргентина,-29.13995,-59.26343,America/Argentina/Cordoba,70245
Gobernador Virasora,Аргентина,-28.05,-56.03333,America/Argentina/Cordoba,28756
General Pacheco,Аргентина,-34.45256,-58.64312,America/Argentina/Buenos_Aires,43287
General José de San Martín,Аргентина,-26.53643,-59.34138,America/Argentina/Cordoba,31758
Garupá,Аргентина,-27.48315,-55.82924,America/Argentina/Cordoba,28814
Formosa,Аргентина,-26.18489,-58.17313,America/Argentina/Cordoba,222226
Fontana,Аргентина,-27.42039,-59.03731,America/Argentina/Cordoba,26745
Federal,Аргентина,-30.95619,-58.7797,America/Argentina/Cordoba,16333
Esquina,Аргентина,-30.01476,-59.5289,America/Argentina/Cordoba,26399
El Soberbio,Аргентина,-27.29662,-54.19811,America/Argentina/Cordoba,19571
El Palomar,Аргентина,-34.61771,-58.60153,America/Argentina/Buenos_Aires,59031
Don Torcuato,Аргентина,-34.49459,-58.62729,America/Argentina/Buenos_Aires,71356
Dolores,Аргентина,-36.31539,-57.67546,America/Argentina/Buenos_Aires,25190
Curuzú Cuatiá,Аргентина,-29.79145,-58.0499,America/Argentina/Cordoba,36390
Corrientes,Аргентина,-27.46784,-58.8344,America/Argentina/Cordoba,346334
Concordia,Аргентина,-31.39195,-58.01706,America/Argentina/Cordoba,145210
Concepción del Uruguay,Аргентина,-32.48463,-58.23217,America/Argentina/Cordoba,67895
Colón,Аргентина,-32.22312,-58.14426,America/Argentina/Cordoba,58219
Colegiales,Аргентина,-34.57365,-58.44924,America/Argentina/Buenos_Aires,57000
Chascomús,Аргентина,-35.57681,-58.01215,America/Argentina/Buenos_Aires,47524
Chajarí,Аргентина,-30.75482,-57.98196,America/Argentina/Cordoba,30655
Castelar,Аргентина,-34.65142,-58.64074,America/Argentina/Buenos_Aires,107786
Campana,Аргентина,-34.16327,-58.95919,America/Argentina/Buenos_Aires,86860
Buenos Aires,Аргентина,-34.61315,-58.37723,America/Argentina/Buenos_Aires,2891082
Boedo,Аргентина,-34.63333,-58.41667,America/Argentina/Buenos_Aires,48231
Berazategui,Аргентина,-34.76531,-58.21278,America/Argentina/Buenos_Aires,180523
Bella Vista,Аргентина,-34.5651,-58.69034,America/Argentina/Buenos_Aires,79737
Belgrano,Аргентина,-34.5627,-58.45829,America/Argentina/Buenos_Aires,138942
Barranqueras,Аргентина,-27.48132,-58.93925,America/Argentina/Cordoba,50823
Barracas,Аргентина,-34.64966,-58.38341,America/Argentina/Buenos_Aires,77474
Balcarce,Аргентина,-37.84638,-58.25549,America/Argentina/Buenos_Aires,38823
Azul,Аргентина,-36.77803,-59.85848,America/Argentina/Buenos_Aires,53941
Ayacucho,Аргентина,-37.15276,-58.48838,America/Argentina/Buenos_Aires,17364
Avellaneda,Аргентина,-29.11761,-59.65834,America/Argentina/Cordoba,23341
Aristóbulo del Valle,Аргентина,-27.09571,-54.89344,America/Argentina/Cordoba,20683
Apóstoles,Аргентина,-27.91421,-55.75355,America/Argentina/Cordoba,26710
Zapala,Аргентина,-38.90056,-70.06674,America/Argentina/Salta,31534
Yerba Buena,Аргентина,-26.81298,-65.29543,America/Argentina/Tucuman,50783
Villa Regina,Аргентина,-39.09631,-67.08374,America/Argentina/Salta,31209
Villa Paula de Sarmiento,Аргентина,-31.4933,-68.53838,America/Argentina/San_Juan,19092
Villa Nueva,Аргентина,-32.43289,-63.24811,America/Argentina/Cordoba,16841
Villa María,Аргентина,-32.40751,-63.24016,America/Argentina/Cordoba,92453
Villa Dolores,Аргентина,-31.94504,-65.19025,America/Argentina/Cordoba,28009
Villa Constitución,Аргентина,-33.22795,-60.32994,America/Argentina/Cordoba,44271
Villa Carlos Paz,Аргентина,-31.4183,-64.49008,America/Argentina/Cordoba,69451
Villa Ángela,Аргентина,-27.57679,-60.71114,America/Argentina/Cordoba,43511
Villa Allende,Аргентина,-31.29368,-64.2977,America/Argentina/Cordoba,21683
Viedma,Аргентина,-40.81519,-63.0004,America/Argentina/Salta,48940
Victoria,Аргентина,-32.61841,-60.15478,America/Argentina/Cordoba,25139
Vera,Аргентина,-29.45986,-60.21315,America/Argentina/Cordoba,19797
Venado Tuerto,Аргентина,-33.74585,-61.96711,America/Argentina/Cordoba,72340
Veinticinco de Mayo,Аргентина,-35.43247,-60.17156,America/Argentina/Buenos_Aires,24668
Ushuaia,Аргентина,-54.81084,-68.31591,America/Argentina/Ushuaia,56825
Unquillo,Аргентина,-31.23717,-64.31176,America/Argentina/Cordoba,15369
Tres Isletas,Аргентина,-26.34067,-60.43207,America/Argentina/Cordoba,24747
Tres Arroyos,Аргентина,-38.37694,-60.27563,America/Argentina/Buenos_Aires,47136
Trelew,Аргентина,-43.24895,-65.30505,America/Argentina/Catamarca,97915
Termas de Río Hondo,Аргентина,-27.49362,-64.85972,America/Argentina/Cordoba,27838
Tartagal,Аргентина,-22.51682,-63.8056,America/Argentina/Salta,60819
Tafí Viejo,Аргентина,-26.7333,-65.26146,America/Argentina/Tucuman,48459
